ENSDARG00000074531	spag9a	sperm associated antigen 9a [Source:ZFIN;Acc:ZDB-GENE-070820-7]	0	0	0	0	0	0	0	0	0	0	0.44	0.86	0.93	5.28	4.06	13.49	8.05	12.10	7.79	23.29	33.63	35.60	16.78	13.89	3.49	9.38	3.66	3.29	1.41	0	1.68	0.51	1.78	0.36	0	0.45	0	0	0	0
ENSDARG00000055229	ncs1a	neuronal calcium sensor 1a [Source:ZFIN;Acc:ZDB-GENE-021220-1]	0	0	0	1.12	1.55	0.45	0.83	0.38	2.49	2.59	3.89	1.82	2.78	3.85	8.24	3.74	2.06	2.41	6.26	5.73	12.37	9.30	1.51	3.50	2.70	6.52	5.74	2.53	0.65	1.68	0.58	3.88	0	3.95	4.45	5.18	3.24	0.47	0	0
ENSDARG00000029014	orc4	origin recognition complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2224]	1.34	0	0	1.50	0.96	0.90	1.71	2.66	1.06	8.94	14.63	15.33	23.12	33.62	35.77	66.37	80.57	109.77	93.55	123.37	127.83	129.81	117.96	82.49	52.07	44.97	41.75	33.63	15.56	10.16	9.11	4.29	1.02	8.81	2.59	2.08	0.66	3.13	0	0
ENSDARG00000037371	dcun1d1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-5443]	0	0	0	0	0.59	0	0	0.38	0	0	0	2.39	1.66	3.66	6.00	11.23	15.74	6.42	7.10	9.92	32.16	16.85	16.94	9.23	8.73	5.39	4.75	6.06	2.06	2.47	1.75	0.41	1.52	1.62	0	0	0.86	0	0	0
ENSDARG00000096192	si:dkey-57k17.1	si:dkey-57k17.1 [Source:ZFIN;Acc:ZDB-GENE-110913-105]	0	0	0	3.00	0	0.45	0	0	0	0.59	2.19	5.74	9.80	6.45	7.18	21.04	8.85	24.02	17.18	27.24	17.18	27.38	24.06	19.79	29.38	15.94	9.29	13.39	3.71	3.49	0.58	0.51	1.02	3.60	0	0.45	1.31	0.47	0	0
ENSDARG00000053291	pnrc2	proline-rich nuclear receptor coactivator 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5475]	2.02	16.56	7.94	58.47	38.60	34.18	39.46	42.74	43.45	63.08	119.22	137.44	194.20	266.93	414.51	570.22	831.92	823.67	921.17	1009.02	1259.94	887.53	1013.33	904.40	772.75	635.30	426.80	281.67	186.91	155.24	99.18	63.16	47.16	64.18	42.17	39.97	39.67	31.63	10.48	5.39
ENSDARG00000019753	kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:ZFIN;Acc:ZDB-GENE-100921-56]	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11	2.12	0.63	0.72	3.34	3.08	8.53	7.02	3.82	2.72	3.11	1.27	1.64	0	0	0	0	0.58	0	0	0	0	0	0	0	0	0
ENSDARG00000012021	kdsr	3-ketodihydrosphingosine reductase [Source:ZFIN;Acc:ZDB-GENE-040426-853]	0	0	0	5.25	2.13	1.80	3.41	7.06	2.15	2.50	8.84	6.80	10.18	15.01	14.42	19.34	31.31	23.65	21.63	33.20	13.37	33.62	21.63	18.84	25.09	12.83	12.42	15.62	13.82	9.92	8.52	5.82	9.38	17.80	10.94	10.81	5.83	1.60	6.38	0
ENSDARG00000006275	irf2bp2b	interferon regulatory factor 2 binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040426-2574]	0	0	0	3.37	0	4.49	2.21	3.79	1.06	5.59	6.70	7.09	16.65	22.22	13.60	20.55	20.66	19.26	23.35	18.00	37.84	21.70	13.92	25.65	39.70	23.09	16.18	9.83	10.52	7.87	6.78	4.70	3.05	4.86	2.87	4.62	1.97	3.21	0	0
ENSDARG00000054818	rpl32	ribosomal protein L32 [Source:ZFIN;Acc:ZDB-GENE-060331-105]	1.34	24.84	39.71	115.44	58.58	57.67	60.25	79.98	82.56	102.32	154.35	213.48	340.91	447.00	575.83	960.31	1240.19	1471.61	1422.61	1522.02	1586.41	1472.35	1653.69	1165.89	1011.97	868.52	634.42	516.86	288.07	226.22	141.28	113.37	107.78	86.29	112.80	99.79	73.10	69.43	36.48	7.41
